REGION|AGRUPACION_CANAL|FECHA|CUOTA_CANAL
SUR PENINSULA|PS|2018-09-26 00:00:00|0
SUR PENINSULA|PS|2018-09-27 00:00:00|0
SUR PENINSULA|PS|2018-09-28 00:00:00|0
SUR PENINSULA|PS|2018-09-29 00:00:00|0
SUR PENINSULA|PS|2018-09-30 00:00:00|0
CENTRO|ED|2018-09-01 00:00:00|5803
CENTRO|ED|2018-09-02 00:00:00|3320
CENTRO|ED|2018-09-03 00:00:00|5380
CENTRO|ED|2018-09-04 00:00:00|5851
CENTRO|ED|2018-09-05 00:00:00|4866
CENTRO|ED|2018-09-06 00:00:00|5362
CENTRO|ED|2018-09-07 00:00:00|4923
CENTRO|ED|2018-09-08 00:00:00|5078
CENTRO|ED|2018-09-09 00:00:00|3657
CENTRO|ED|2018-09-10 00:00:00|5831
CENTRO|ED|2018-09-11 00:00:00|5812
CENTRO|ED|2018-09-12 00:00:00|5544
CENTRO|ED|2018-09-13 00:00:00|6173
CENTRO|ED|2018-09-14 00:00:00|6373
CENTRO|ED|2018-09-15 00:00:00|3348
CENTRO|ED|2018-09-16 00:00:00|3202
CENTRO|ED|2018-09-17 00:00:00|6612
CENTRO|ED|2018-09-18 00:00:00|4757
CENTRO|ED|2018-09-19 00:00:00|5446
CENTRO|ED|2018-09-20 00:00:00|6152
CENTRO|ED|2018-09-21 00:00:00|5857
CENTRO|ED|2018-09-22 00:00:00|5689
CENTRO|ED|2018-09-23 00:00:00|4469
CENTRO|ED|2018-09-24 00:00:00|7219
CENTRO|ED|2018-09-25 00:00:00|7949
CENTRO|ED|2018-09-26 00:00:00|7136
CENTRO|ED|2018-09-27 00:00:00|7829
CENTRO|ED|2018-09-28 00:00:00|8222
CENTRO|ED|2018-09-29 00:00:00|11582
CENTRO|ED|2018-09-30 00:00:00|4421
NOROESTE|ED|2018-09-01 00:00:00|310
NOROESTE|ED|2018-09-02 00:00:00|156
NOROESTE|ED|2018-09-03 00:00:00|292
NOROESTE|ED|2018-09-04 00:00:00|335
NOROESTE|ED|2018-09-05 00:00:00|261
NOROESTE|ED|2018-09-06 00:00:00|305
NOROESTE|ED|2018-09-07 00:00:00|278
NOROESTE|ED|2018-09-08 00:00:00|284
NOROESTE|ED|2018-09-09 00:00:00|185
NOROESTE|ED|2018-09-10 00:00:00|329
NOROESTE|ED|2018-09-11 00:00:00|326
NOROESTE|ED|2018-09-12 00:00:00|312
NOROESTE|ED|2018-09-13 00:00:00|356
